Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6, C7, C9",0805,8,100nF,
"C10, C11",CP_Elec_8x5.4,2,10uF,
C8,CP_Elec_6.3x7.7,1,100uF,
D1,1206,1,PWRLED,
D2,1206,1,+3V_LED,
J1,CONN-DEC-DOUBLE,1,CONN-DEC-DOUBLE,
J2,PinHeader_2x10_P2.54mm_Vertical,1,display_switches_hdr,
J3,PinHeader_1x03_P2.54mm_Vertical,1,pgm_hdr,
JP1,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,Jumper_2_Bridged,
Q1,TO-92_Inline,1,BC547,
"R1, R2",0805,2,4.7k,
"R10, R11, R4, R5, R6, R7, R8, R9",0805,8,1K,
U1,SOIC-20W_7.5x12.8mm_P1.27mm,1,ATtiny1616-S,
"U2, U3, U4, U5, U6, U7",SOIC-16W_7.5x10.3mm_P1.27mm,6,PCF8574T,
U8,SOIC-14W_7.5x9mm_P1.27mm,1,74ACT00SC,
U9,SOT-223-3_TabPin2,1,LD1117S33TR_SOT223,
